gene_id	best	delta_lik	lik_t1	lik_t2	lik_t3
EOG090C04B1	t2	.5575	-5424.2970	-5423.7395	-5429.1269
EOG090C04FD	t2	.4927	-17114.1988	-17111.6847	-17112.1774
EOG090C04H0	t3	2.2257	-14032.1756	-14035.9218	-14029.9499
EOG090C04IP	t3	.7241	-10817.6340	-10821.3323	-10816.9099
EOG090C04JE	t3	1.0684	-15142.1392	-15139.6545	-15138.5861
EOG090C04N7	t2	.0006	-7440.4891	-7440.4885	-7440.4891
EOG090C04QC	t2	7.2479	-10008.2329	-10000.9850	-10008.2334
EOG090C04RC	t1	7.7603	-12686.5252	-12694.7728	-12694.2855
EOG090C04SN	t1	3.8089	-11587.9877	-11591.8108	-11591.7966
EOG090C04TR	t2	.4504	-6742.4862	-6739.7597	-6740.2101
EOG090C04V7	t1	9.4178	-12480.0481	-12489.4659	-12492.5125
EOG090C050C	t1	.0054	-10712.8417	-10713.4828	-10712.8471
EOG090C052V	t3	.4227	-11668.4110	-11666.3189	-11665.8962
EOG090C053D	t3	1.5957	-11193.8800	-11193.8795	-11192.2838
EOG090C0578	t1	1.7254	-11468.8737	-11470.6037	-11470.5991
EOG090C059D	t1	4.9878	-10662.7313	-10669.1650	-10667.7191
EOG090C05A5	t1	5.9529	-7984.5405	-7990.5054	-7990.4934
EOG090C05AA	t2	2.2494	-11447.7293	-11445.4799	-11447.7344
EOG090C05D2	t3	.0008	-9119.1417	-9119.1417	-9119.1409
EOG090C05G1	t3	15.1574	-10314.5835	-10316.1375	-10299.4261
EOG090C05G3	t2	108.4750	-12411.4199	-12302.9449	-12416.1757
EOG090C05L0	t2	5.2625	-13485.9762	-13480.7137	-13487.1869
EOG090C05LN	t2	14.8853	-9743.0298	-9728.1445	-9749.7851
EOG090C05MB	t3	.5766	-9672.6178	-9669.4389	-9668.8623
EOG090C05N2	t3	46.0389	-10706.1890	-10711.1781	-10660.1501
EOG090C05OB	t3	119.5127	-4948.8540	-4958.0100	-4829.3413
EOG090C05QX	t1	1.5770	-5339.6529	-5341.2299	-5345.7549
EOG090C05QZ	t1	1.2048	-9677.4271	-9678.6408	-9678.6319
EOG090C05S6	t1	5.3332	-8629.1830	-8634.5162	-8634.5560
EOG090C05SZ	t3	1.0184	-9775.0380	-9781.9662	-9774.0196
EOG090C05V5	t1	3.0940	-7895.2308	-7900.7096	-7898.3248
EOG090C05V7	t2	.9521	-7264.5445	-7260.7640	-7261.7161
EOG090C05VD	t1	1.5687	-8015.6989	-8019.1006	-8017.2676
EOG090C05XW	t3	1.1013	-13461.0117	-13461.8645	-13459.9104
EOG090C0612	t2	5.7714	-12355.9858	-12349.4497	-12355.2211
EOG090C061N	t2	6.8201	-7558.5698	-7551.7497	-7558.6264
EOG090C063X	t3	12.2493	-9542.5168	-9542.5102	-9530.2609
EOG090C065C	t3	1.0624	-11939.5944	-11943.5116	-11938.5320
EOG090C06D6	t3	4.9421	-10011.5676	-10016.3329	-10006.6255
EOG090C06DR	t3	2.1851	-7488.6809	-7490.8236	-7486.4958
EOG090C06E3	t3	1.8580	-10697.1665	-10691.7957	-10689.9377
EOG090C06G0	t2	1.6464	-8530.7311	-8529.0847	-8530.7314
EOG090C06GH	t3	.5860	-9768.9700	-9768.7368	-9768.1508
EOG090C06M4	t2	2.6510	-10947.7111	-10944.4922	-10947.1432
EOG090C06OH	t2	1.6101	-6978.9663	-6973.1825	-6974.7926
EOG090C06OU	t2	7.3720	-7898.8600	-7891.4880	-7900.5320
EOG090C06TR	t3	1.0710	-8666.5311	-8656.3748	-8655.3038
EOG090C06UT	t3	3.4164	-9230.6893	-9231.5823	-9227.2729
EOG090C06YQ	t3	3.6999	-9341.2644	-9338.0811	-9334.3812
EOG090C0737	t3	8.2469	-7881.0661	-7883.3585	-7872.8192
EOG090C0764	t1	1.9686	-9837.9101	-9841.2598	-9839.8787
EOG090C0775	t1	8.8059	-15355.5740	-15364.3799	-15376.8588
EOG090C078W	t2	2.8943	-9515.6850	-9511.6386	-9514.5329
EOG090C07A1	t3	.4771	-7844.1479	-7842.7459	-7842.2688
EOG090C07AW	t1	.1956	-6832.4313	-6832.6408	-6832.6269
EOG090C07DE	t2	.8933	-9991.1058	-9986.0239	-9986.9172
EOG090C07E7	t1	3.4416	-15394.0096	-15397.4512	-15403.2307
EOG090C07EK	t3	.4471	-9085.8570	-9091.3110	-9085.4099
EOG090C07FM	t3	5.1943	-8831.9051	-8831.9040	-8826.7097
EOG090C07KD	t1	.0009	-5741.8885	-5741.8902	-5741.8894
EOG090C07QB	t3	1.7721	-24023.7549	-24025.6287	-24021.9828
EOG090C07R2	t3	3.1329	-7661.7553	-7661.7566	-7658.6224
EOG090C07T8	t3	3.8776	-9780.6493	-9780.6504	-9776.7717
EOG090C07T9	t2	1.8368	-7701.1641	-7699.3273	-7701.1650
EOG090C07UF	t2	6.8170	-7203.1201	-7196.3031	-7207.5777
EOG090C07VC	t3	5.0832	-6434.4584	-6434.4571	-6429.3739
EOG090C07YF	t3	4.5357	-8417.0573	-8417.0547	-8412.5190
EOG090C0814	t3	.3818	-7332.3722	-7332.3736	-7331.9904
EOG090C084B	t3	4.3589	-9462.0327	-9465.2888	-9457.6738
EOG090C084P	t3	5.7649	-8571.2405	-8571.2400	-8565.4751
EOG090C0853	t2	1.5867	-6133.1990	-6130.8247	-6132.4114
EOG090C087X	t2	4.9730	-8772.0453	-8767.0722	-8772.0452
EOG090C088I	t1	8.3538	-5966.8066	-5981.1736	-5975.1604
EOG090C08E3	t2	4.1813	-9958.8515	-9947.7368	-9951.9181
EOG090C08GX	t1	.2815	-6286.2379	-6286.5194	-6294.2662
EOG090C08HB	t1	.2661	-9314.1102	-9314.3763	-9314.3827
EOG090C08HD	t1	1.3123	-7971.5870	-7972.8993	-7974.0973
EOG090C08IP	t2	.4748	-7470.2435	-7467.7161	-7468.1909
EOG090C08JM	t1	.0002	-3281.0700	-3281.0704	-3281.0702
EOG090C08L3	t1	.1092	-7613.8299	-7619.6628	-7613.9391
EOG090C08P2	t2	2.8453	-6299.6697	-6296.8244	-6305.6544
EOG090C08VL	t3	5.6059	-6757.7381	-6754.4157	-6748.8098
EOG090C08Y7	t1	2.9713	-8028.5548	-8031.5261	-8043.9179
EOG090C08ZX	t3	3.1928	-7848.7950	-7852.1795	-7845.6022
EOG090C0910	t1	.2041	-6378.1064	-6378.3118	-6378.3105
EOG090C091S	t2	1.5221	-6642.7500	-6641.2279	-6643.7033
EOG090C0942	t3	2.9471	-6042.6122	-6042.6132	-6039.6651
EOG090C095H	t1	7.6116	-5034.5295	-5042.1411	-5042.1751
EOG090C0979	t3	2.2390	-8284.2188	-8284.8354	-8281.9798
EOG090C09E0	t2	.0007	-5609.0396	-5609.0389	-5609.0397
EOG090C09EJ	t3	3.6733	-6802.2144	-6806.3085	-6798.5411
EOG090C09G2	t3	2.3467	-6196.9068	-6194.3530	-6192.0063
EOG090C09HK	t1	5.3435	-6372.5828	-6377.9263	-6377.9266
EOG090C09SR	t1	.0003	-7273.1223	-7273.1226	-7273.1226
EOG090C09U6	t1	2.5958	-5342.4344	-5352.2704	-5345.0302
EOG090C09UD	t3	.3160	-8805.7548	-8817.9317	-8805.4388
EOG090C09VY	t3	1.4376	-14863.9322	-14861.3620	-14859.9244
EOG090C09YB	t2	1.3800	-10261.4465	-10260.0604	-10261.4404
EOG090C09YT	t3	5.7289	-7740.6525	-7741.8800	-7734.9236
EOG090C09ZT	t2	3.2496	-7065.8223	-7062.5713	-7065.8209
EOG090C0A3I	t3	5.4008	-6983.3424	-6983.4436	-6977.9416
EOG090C0A45	t1	9.9812	-8017.2398	-8027.2210	-8027.3846
EOG090C0A5R	t3	5.4907	-7484.6783	-7485.5670	-7479.1876
EOG090C0A60	t3	5.8319	-9617.3521	-9616.8673	-9611.0354
EOG090C0A64	t1	.8536	-7229.0828	-7230.7466	-7229.9364
EOG090C0A6M	t1	7.3497	-7714.3536	-7725.8861	-7721.7033
EOG090C0A75	t1	.9333	-5717.3885	-5718.3218	-5718.8134
EOG090C0A7L	t2	.2936	-6231.8616	-6231.5680	-6233.0873
EOG090C0A7Z	t2	13.5254	-4752.6103	-4739.0849	-4755.5958
EOG090C0A9E	t1	3.9924	-7818.7332	-7822.7256	-7823.1194
EOG090C0A9Z	t1	68.3930	-7312.4301	-7380.8231	-7382.3946
EOG090C0ACE	t3	.0001	-5428.5420	-5428.5411	-5428.5410
EOG090C0AFE	t3	1.1496	-4994.7502	-4992.6979	-4991.5483
EOG090C0AJF	t3	11.8942	-7753.8020	-7757.3429	-7741.9078
EOG090C0ATW	t3	13.7519	-5035.4691	-5038.9001	-5021.7172
EOG090C0AVW	t3	4.0030	-7315.0537	-7316.5244	-7311.0507
EOG090C0AYM	t1	1.3414	-5241.2507	-5242.5921	-5242.7081
EOG090C0B0W	t3	3.6141	-6977.2530	-6977.2549	-6973.6389
EOG090C0B2X	t1	.0038	-5583.7330	-5583.7368	-5583.7392
EOG090C0B5U	t1	4.0942	-5092.8355	-5096.9507	-5096.9297
EOG090C0B6Z	t2	.5873	-6304.8931	-6296.2120	-6296.7993
EOG090C0BFG	t3	.5093	-5575.3327	-5575.3240	-5574.8147
EOG090C0BHC	t1	.4725	-3004.0145	-3004.4870	-3004.4924
EOG090C0BIV	t1	4.4187	-7469.0507	-7475.8562	-7473.4694
EOG090C0BJ8	t3	3.9505	-4856.8033	-4857.3719	-4852.8528
EOG090C0BJH	t2	.0830	-5272.1459	-5272.0628	-5272.1458
EOG090C0BO8	t3	2.6949	-4321.4803	-4321.4811	-4318.7854
EOG090C0BQZ	t1	1.2225	-5346.6178	-5347.8428	-5347.8403
EOG090C0BSS	t3	3.9324	-3631.5480	-3631.5485	-3627.6156
EOG090C0BXY	t3	1.2647	-6979.2683	-6983.2833	-6978.0036
EOG090C0C28	t2	8.2445	-16072.9688	-16060.9818	-16069.2263
EOG090C0C6Y	t3	4.2532	-3725.8524	-3725.4137	-3721.1605
EOG090C0C82	t2	2.1071	-4105.0678	-4102.9607	-4106.5343
EOG090C0C96	t2	.0887	-5290.8112	-5286.7527	-5286.8414
EOG090C0CAE	t1	6.0765	-2775.8508	-2781.9292	-2781.9273
EOG090C0CC2	t3	2.3935	-4628.3466	-4628.3483	-4625.9531
EOG090C0CI2	t2	2.5095	-3921.9909	-3917.8997	-3920.4092
EOG090C0CL1	t3	.3421	-4717.9465	-4717.9465	-4717.6044
EOG090C0CNR	t2	.0003	-4079.6030	-4079.6027	-4079.6039
EOG090C0CNU	t1	4.2586	-4915.5791	-4919.8377	-4919.8380
EOG090C0COA	t2	3.3911	-4522.1718	-4518.7807	-4522.1727
EOG090C0COQ	t1	.4389	-4645.6742	-4649.4212	-4646.1131
EOG090C0CP2	t3	10.9112	-5341.4304	-5339.6945	-5328.7833
EOG090C0CQ8	t3	3.4829	-5591.3531	-5593.1266	-5587.8702
EOG090C0CT5	t2	2.9543	-4068.2968	-4065.3424	-4068.2967
EOG090C0CUT	t3	.0001	-4493.0194	-4493.0192	-4493.0191
EOG090C0CVS	t2	1.5055	-4475.6141	-4472.4275	-4473.9330
EOG090C0CWR	t1	1.2646	-5352.3074	-5353.5720	-5357.4322
EOG090C0D12	t3	18.0960	-4769.6558	-4771.4088	-4751.5598
EOG090C0D5X	t2	1.3620	-6315.3593	-6313.9972	-6315.3592
EOG090C0D62	t1	2.7823	-3404.6919	-3407.4756	-3407.4742
EOG090C0D8Y	t2	3.6059	-8408.1191	-8404.5132	-8408.1222
EOG090C0DBT	t1	2.4195	-3507.4950	-3509.9145	-3512.6751
EOG090C0DC4	t1	8.7025	-3866.5715	-3875.2740	-3875.2821
EOG090C0DCG	t1	1.4662	-6522.7836	-6524.2498	-6528.1425
EOG090C0DHQ	t1	3.0611	-3062.9392	-3066.0003	-3066.0008
EOG090C0DIZ	t3	4.5024	-3062.2525	-3062.2502	-3057.7478
EOG090C0DLR	t3	8.4824	-2996.6402	-3000.9540	-2988.1578
EOG090C0DPN	t1	12.9667	-4810.9759	-4823.9448	-4823.9426
EOG090C0DPY	t1	.0014	-8447.9884	-8447.9898	-8449.5074
EOG090C0DQF	t2	.5718	-3541.6230	-3541.0500	-3541.6218
EOG090C0DVF	t1	.1628	-4639.1135	-4640.6866	-4639.2763
EOG090C0DYT	t3	1.8685	-4207.1456	-4207.1514	-4205.2771
EOG090C0DZR	t3	5.6429	-3168.2208	-3168.2222	-3162.5779
EOG090C0E0A	t1	3.8755	-4356.5992	-4360.4747	-4360.9995
EOG090C0E5P	t3	.2642	-3069.6053	-3069.6051	-3069.3409
EOG090C0E61	t1	15.1766	-4704.0721	-4719.2487	-4719.5336
EOG090C0E66	t1	10.5562	-3524.6220	-3535.1782	-3537.1007
EOG090C0E67	t1	1.7738	-2240.0692	-2244.9604	-2241.8430
EOG090C0E9M	t1	.1230	-2566.0390	-2566.1620	-2566.1620
EOG090C0ECL	t2	4.2153	-5429.1984	-5424.9814	-5429.1967
EOG090C0EDQ	t2	4.3189	-3350.6417	-3346.3228	-3352.6015
EOG090C0EOX	t3	3.5956	-3998.0708	-3998.0714	-3994.4752
EOG090C0EQN	t2	2.8764	-4248.4858	-4245.6094	-4248.4861
EOG090C0EQT	t3	.0004	-2712.7998	-2712.7999	-2712.7994
EOG090C0ERA	t2	.0001	-3367.3839	-3367.3838	-3367.3839
EOG090C0EUQ	t1	4.9448	-2758.9829	-2763.9277	-2765.7976
EOG090C0EW9	t1	4.7956	-4400.2971	-4411.4698	-4405.0927
EOG090C0EZV	t2	.0003	-2652.7380	-2652.7377	-2652.7381
EOG090C0F0B	t3	4.8614	-2095.2087	-2095.2089	-2090.3473
EOG090C0F5V	t1	4.1610	-3356.1535	-3360.3145	-3361.6754
EOG090C0F6D	t3	2.5944	-2270.1516	-2266.6775	-2264.0831
EOG090C0FDT	t3	.0001	-2386.4798	-2386.4797	-2386.4796
EOG090C0FJ3	t2	.0002	-3305.5515	-3305.5512	-3305.5514
EOG090C0FJJ	t1	8.8935	-1609.5261	-1618.4196	-1618.4244
EOG090C0FK5	t2	28.3196	-2924.7036	-2892.2775	-2920.5971
EOG090C0FMY	t3	1.5687	-2141.1175	-2141.1176	-2139.5488
EOG090C0FN4	t3	5.6153	-3651.8687	-3651.8688	-3646.2534
EOG090C0FO8	t3	.4247	-2958.1130	-2958.1129	-2957.6882
EOG090C0FPV	t1	9.5891	-2862.6067	-2872.1958	-2872.2474
EOG090C0FTD	t3	1.0819	-1498.7587	-1498.7587	-1497.6768
EOG090C0FVO	t1	.8715	-1338.8184	-1339.9524	-1339.6899
