alignment_id	length	n_missing	n_var	n_pi	mean_bpp	mut_rate	rate_var	min_ess
EOG090C01QP	2913	0	1401	761	0.8131	0.001251	0.8122	110.453
EOG090C01S4	1695	0	642	369	0.8013	0.001189	0.5741	419.664
EOG090C01T7	3270	0	1708	909	0.8622	0.001324	0.6734	142.7251
EOG090C01VW	2748	0	1735	881	0.8899	0.002619	0.3695	486.6015
EOG090C01W9	1260	0	696	372	0.7720	0.001690	0.6026	413.5107
EOG090C022Z	2028	0	1256	612	0.8165	0.001628	1.0208	234.2107
EOG090C027B	2097	0	1236	673	0.8555	0.001713	0.6162	199.2103
EOG090C027E	3114	0	1897	1060	0.8498	0.001870	0.6292	99.05125
EOG090C02AS	2988	0	1310	722	0.8694	0.001588	0.5540	302.6327
EOG090C02BD	2955	0	984	441	0.7099	0.000765	1.1626	144.6169
EOG090C02D8	2574	0	1304	783	0.8023	0.001923	0.5714	16.19557
EOG090C02EK	2625	0	1451	802	0.8308	0.001692	0.8199	148.7512
EOG090C02FU	2307	0	1238	640	0.8176	0.001659	0.5483	362.2367
EOG090C02GG	1890	0	794	448	0.8262	0.001329	0.8832	234.3664
EOG090C02JH	2127	0	1255	707	0.8260	0.001780	0.5577	170.4699
EOG090C02KW	3546	0	1990	1003	0.8345	0.002475	0.5656	87.62766
EOG090C02QR	1989	0	1244	693	0.8755	0.001894	0.5287	207.6182
EOG090C02S2	2496	0	1299	684	0.7809	0.001390	0.6394	203.0676
EOG090C02TX	2172	0	1174	644	0.8160	0.001678	0.8208	154.8862
EOG090C02W1	2307	0	959	592	0.7944	0.001309	0.8877	39.67551
EOG090C02XJ	1617	0	779	413	0.8023	0.001363	0.8261	140.701
EOG090C031H	2208	4	1176	691	0.5305	0.002131	0.5468	109.4619
EOG090C031J	2127	1	995	539	0.7508	0.001136	0.7575	85.41775
EOG090C0349	2397	0	952	563	0.8479	0.001302	0.5662	181.6847
EOG090C034S	1734	0	1118	688	0.8731	0.002163	0.5562	268.4205
EOG090C035W	2346	0	1434	748	0.8435	0.002233	0.5486	151.8431
EOG090C037V	1995	0	1130	582	0.8190	0.001523	0.7001	189.5275
EOG090C039G	2082	0	1173	653	0.7874	0.001768	0.5375	216.1476
EOG090C03F4	1671	0	823	430	0.8200	0.001533	0.7090	317.7535
EOG090C03FG	2214	0	1113	647	0.8346	0.002212	0.4676	221.1909
EOG090C03FJ	1590	0	942	495	0.6761	0.001507	0.7680	215.2353
EOG090C03MY	2115	0	810	442	0.8014	0.001143	0.5385	339.6798
EOG090C03OC	1386	0	596	363	0.6881	0.001196	0.7440	232.3322
EOG090C03Q4	3951	0	2425	1219	0.8351	0.001782	0.6297	53.18756
EOG090C03SO	900	1	658	356	0.6089	0.002014	0.8474	104.1876
EOG090C03TA	1857	0	877	471	0.7796	0.001434	0.7238	219.2992
EOG090C042A	1899	0	1064	608	0.8156	0.002289	0.5816	152.8941
EOG090C048B	1545	0	806	414	0.6591	0.001245	1.0367	128.5937
EOG090C04B1	909	0	389	263	0.5545	0.001349	1.3052	302.2749
EOG090C04FD	1938	0	1283	751	0.8764	0.002642	0.4803	333.0274
EOG090C04H0	2151	0	954	509	0.7826	0.001494	0.5620	476.4017
EOG090C04IP	1833	0	704	411	0.7864	0.001485	0.4702	511.1611
EOG090C04N7	1797	0	504	246	0.5778	0.000854	1.0513	161.1043
EOG090C04QC	1590	0	767	377	0.6746	0.001166	0.8569	226.1599
EOG090C04RC	1788	0	964	494	0.7520	0.001473	0.5964	352.796
EOG090C04SN	1692	0	792	454	0.7156	0.001574	0.5023	399.4531
EOG090C04TR	948	0	470	275	0.7005	0.001581	0.7052	165.7072
EOG090C04V7	1656	0	978	505	0.8447	0.001391	0.8999	138.7632
EOG090C050C	1611	1	792	411	0.6426	0.001617	0.6116	245.8481
EOG090C052V	1839	0	794	454	0.8030	0.001426	0.6108	63.46463
EOG090C053D	1761	0	845	423	0.7428	0.001093	0.8761	233.8535
EOG090C0578	1473	0	919	485	0.7317	0.001922	0.7836	63.1845
EOG090C059D	1629	0	872	439	0.8325	0.001311	0.6633	240.1075
EOG090C05A5	1317	0	626	293	0.7331	0.001384	0.7327	435.5593
EOG090C05AA	1857	0	795	452	0.7570	0.001186	0.6245	294.2027
EOG090C05D2	1677	0	608	340	0.7043	0.000876	0.8883	26.82523
EOG090C05G1	1557	1	683	415	0.7008	0.001265	0.6178	419.979
EOG090C05G3	1947	0	825	439	0.6406	0.001218	1.1336	102.8888
EOG090C05L0	2013	0	1045	547	0.7986	0.001482	0.7757	201.964
EOG090C05LN	1191	0	716	394	0.7269	0.001773	0.8629	185.8239
EOG090C05MB	1602	0	662	352	0.6824	0.001038	1.0967	212.9109
EOG090C05N2	1254	3	758	437	0.5962	0.002218	0.9045	332.4394
EOG090C05OB	1353	0	285	154	0.6927	0.000552	1.4876	255.8051
EOG090C05QX	753	0	353	203	0.7951	0.001590	0.7251	426.1689
EOG090C05QZ	1677	0	693	351	0.7462	0.001318	0.9525	170.8613
EOG090C05S6	1035	0	596	361	0.7760	0.001607	0.8481	127.0913
EOG090C05SZ	1362	0	651	388	0.6639	0.001625	0.8321	248.8338
EOG090C05V5	1155	0	539	310	0.7536	0.001238	0.6258	540.1688
EOG090C05V7	1152	0	448	273	0.7008	0.001497	0.4855	831.9389
EOG090C05VD	1317	0	566	314	0.7338	0.001285	0.8063	344.1607
EOG090C05XW	1731	0	965	569	0.8467	0.001609	0.6750	224.4906
EOG090C0612	1608	0	947	500	0.8669	0.002365	0.4782	292.1592
EOG090C061N	1491	0	485	261	0.7449	0.000974	0.5527	587.2892
EOG090C063X	1413	0	706	369	0.8142	0.001388	0.7313	251.7641
EOG090C065C	1509	0	855	493	0.7885	0.001923	0.5541	252.6173
EOG090C06D6	1497	0	583	371	0.8152	0.001536	0.7863	361.9324
EOG090C06DR	1470	0	481	292	0.6348	0.000838	0.8492	177.0589
EOG090C06E3	1362	5	768	449	0.4424	0.001838	0.4980	322.0906
EOG090C06G0	1227	0	639	356	0.6470	0.001713	0.4780	242.3679
EOG090C06GH	1428	0	680	396	0.8351	0.001379	0.5250	347.2187
EOG090C06M4	1413	0	780	454	0.8146	0.001533	0.6809	244.0436
EOG090C06OH	1257	0	479	240	0.6737	0.001317	1.2015	205.0271
EOG090C06OU	1236	0	478	310	0.7870	0.001359	0.7320	369.2281
EOG090C06TR	1242	0	553	328	0.7656	0.001436	0.4730	488.1749
EOG090C06UT	1230	0	704	379	0.8313	0.002132	0.3831	505.4365
EOG090C06YQ	1377	2	655	385	0.6294	0.001673	0.8404	288.0836
EOG090C0737	1158	0	570	305	0.7729	0.001459	0.8121	59.35844
EOG090C0764	1476	0	799	385	0.6901	0.002079	0.7774	135.2199
EOG090C0775	1929	0	1211	635	0.8210	0.001586	0.9438	105.955
EOG090C078W	1347	0	642	375	0.8403	0.001359	0.6525	266.1656
EOG090C07A1	1389	0	526	289	0.5054	0.000908	0.8418	213.0513
EOG090C07AW	1230	0	499	272	0.6204	0.000939	0.9121	275.3198
EOG090C07DE	1194	0	726	414	0.8413	0.001836	0.6225	278.2588
EOG090C07E7	2175	4	1234	659	0.5110	0.001762	0.5730	278.7197
EOG090C07EK	1320	0	677	381	0.6261	0.001216	0.9161	128.4895
EOG090C07FM	1287	0	648	378	0.7311	0.001395	0.8444	257.3626
EOG090C07KD	1221	0	365	200	0.6981	0.000801	1.0400	379.6656
EOG090C07QB	3489	0	1901	1010	0.8678	0.001750	0.6471	190.7014
EOG090C07R2	1206	0	500	254	0.8349	0.001384	0.4261	849.4602
EOG090C07T8	1443	0	679	367	0.7666	0.001115	0.7045	161.9263
EOG090C07T9	1227	2	485	298	0.5012	0.001503	0.5493	513.9875
EOG090C07UF	948	1	515	267	0.5827	0.002011	0.9149	330.9251
EOG090C07YF	1221	0	652	341	0.8159	0.001332	0.5990	409.313
EOG090C0814	1050	0	513	295	0.5860	0.001228	0.9115	158.4456
EOG090C084B	1380	0	627	379	0.7886	0.001477	0.6302	267.7237
EOG090C084P	1080	0	662	337	0.8446	0.001958	0.6662	407.3537
EOG090C0853	888	0	463	233	0.6563	0.001460	0.9450	168.7474
EOG090C085V	1209	0	435	233	0.5481	0.001469	1.3524	105.7045
EOG090C087X	1281	0	619	345	0.6910	0.001158	0.9633	313.8217
EOG090C088I	1146	0	426	221	0.6580	0.001185	1.2312	244.1355
EOG090C08E3	1368	0	681	391	0.8538	0.001485	0.7090	266.5228
EOG090C08GX	1194	2	368	220	0.4538	0.001210	0.5744	71.84071
EOG090C08HB	1323	0	597	349	0.8324	0.002038	0.3620	849.6548
EOG090C08HD	918	0	580	317	0.8256	0.002299	0.5379	173.9267
EOG090C08IP	1113	0	516	274	0.7160	0.001570	0.3829	567.4068
EOG090C08L3	978	2	511	299	0.5591	0.001439	0.6231	122.7576
EOG090C08P2	1059	0	404	235	0.6208	0.001039	0.8307	112.0952
EOG090C08VL	1074	0	457	254	0.6952	0.001190	0.5043	492.8057
EOG090C08Y7	1140	0	622	341	0.7625	0.001721	0.5785	297.8905
EOG090C08ZX	1167	0	616	314	0.6571	0.001395	0.8542	40.65297
EOG090C0910	1056	1	457	257	0.5678	0.001454	0.5807	312.987
EOG090C091S	1095	3	461	247	0.5178	0.000978	1.0223	274.624
EOG090C0942	858	0	449	233	0.6994	0.001589	0.5580	82.04689
EOG090C095H	675	0	327	194	0.7649	0.001627	0.5691	888.4984
EOG090C0979	981	0	567	325	0.8329	0.001943	0.4567	287.8044
EOG090C09E0	1038	0	371	199	0.6174	0.001010	0.4129	737.9165
EOG090C09EJ	945	0	510	281	0.7343	0.001370	0.7764	341.5352
EOG090C09G2	789	5	421	248	0.3816	0.002116	0.6294	499.2502
EOG090C09HK	1017	0	506	269	0.6597	0.001367	0.7262	111.3492
EOG090C09SR	1011	1	527	285	0.6447	0.001674	0.4820	705.6079
EOG090C09U6	765	0	385	215	0.6321	0.001097	0.9602	426.3111
EOG090C09UD	1182	0	692	367	0.8118	0.001393	0.6701	367.9752
EOG090C09VY	2178	0	1053	602	0.8257	0.001316	0.6997	227.9373
EOG090C09YB	1473	0	757	396	0.6942	0.001362	0.8775	183.5325
EOG090C09YT	1029	0	558	319	0.6893	0.001318	0.8501	21.95596
EOG090C09ZT	1008	0	451	279	0.7507	0.001545	0.6442	462.534
EOG090C0A3I	945	0	499	267	0.6341	0.001715	0.5788	326.7844
EOG090C0A45	975	0	576	339	0.7539	0.001648	0.7001	420.2398
EOG090C0A5R	942	0	489	284	0.7258	0.001638	0.7134	312.308
EOG090C0A60	1200	0	749	397	0.6902	0.001526	0.9048	66.51749
EOG090C0A64	999	0	585	311	0.6688	0.001502	0.7460	323.4816
EOG090C0A75	912	0	424	230	0.6541	0.001201	0.6448	418.0358
EOG090C0A7L	999	0	386	219	0.6548	0.001111	0.7437	549.2334
EOG090C0A7Z	711	0	338	194	0.6185	0.001294	0.6463	399.8789
EOG090C0A9E	990	0	577	316	0.6968	0.001456	0.9904	158.9489
EOG090C0A9Z	930	0	534	308	0.6271	0.001968	0.6539	288.8957
EOG090C0ACE	837	0	457	218	0.7437	0.001728	0.5368	694.0555
EOG090C0AFE	534	0	315	186	0.6511	0.002087	0.8178	626.1848
EOG090C0AJF	1047	0	518	310	0.7960	0.001485	0.5927	404.5806
EOG090C0ATW	765	0	365	195	0.6549	0.001262	1.0219	370.6262
EOG090C0AVW	1002	0	558	296	0.5386	0.001194	1.0674	154.2938
EOG090C0AYM	813	0	348	190	0.7234	0.001551	0.5094	546.27
EOG090C0B0W	1164	0	485	268	0.6902	0.001225	0.4268	849.7225
EOG090C0B2X	786	0	455	211	0.6156	0.001376	0.8734	324.6435
EOG090C0B5U	855	0	354	192	0.5902	0.001044	0.7621	36.31468
EOG090C0B6Z	747	1	437	250	0.6377	0.001906	0.7184	322.2238
EOG090C0BFG	870	0	429	219	0.6562	0.001300	0.6617	520.6331
EOG090C0BHC	663	0	192	94	0.5040	0.000796	0.6171	147.9722
EOG090C0BIV	999	0	549	332	0.7646	0.001631	0.4933	452.6541
EOG090C0BJ8	594	0	359	208	0.5348	0.001424	0.8678	206.3412
EOG090C0BJH	864	0	343	207	0.5585	0.001160	0.8478	312.7609
EOG090C0BO8	702	0	345	163	0.6082	0.001376	0.8749	702.3609
EOG090C0BQZ	684	0	384	227	0.7097	0.001912	0.4762	747.8972
EOG090C0BSS	948	0	231	109	0.4997	0.001071	0.4920	213.5412
EOG090C0BXY	924	0	507	298	0.6930	0.001397	0.9862	278.6372
EOG090C0C28	2202	0	1273	670	0.9127	0.001786	0.7590	214.2492
EOG090C0C6Y	576	0	265	136	0.6339	0.001432	0.5006	56.80272
EOG090C0C82	699	0	256	155	0.5770	0.001045	0.8077	421.7224
EOG090C0C96	960	0	360	204	0.6947	0.001137	0.9755	360.8685
EOG090C0CAE	810	0	187	60	0.3389	0.000292	1.1008	749.8393
EOG090C0CC2	795	0	309	168	0.5041	0.000878	1.2736	326.9894
EOG090C0CI2	639	2	316	164	0.5050	0.001146	0.6511	271.2047
EOG090C0CL1	927	0	341	170	0.5878	0.000891	0.7452	70.25966
EOG090C0CNR	810	0	272	147	0.5974	0.000849	0.6761	830.0304
EOG090C0CNU	765	0	345	193	0.7482	0.001460	0.4477	478.3403
EOG090C0COA	768	0	313	183	0.5715	0.001216	0.6704	40.40532
EOG090C0COQ	792	0	342	175	0.4209	0.001226	1.3016	111.7898
EOG090C0CP2	642	0	353	218	0.8081	0.001926	0.4284	959.3051
EOG090C0CQ8	693	0	391	221	0.7246	0.001623	0.8882	225.6246
EOG090C0CT5	663	0	302	160	0.5512	0.000849	1.1312	134.7932
EOG090C0CUT	711	0	319	169	0.5583	0.000991	1.0971	284.2174
EOG090C0CWR	705	0	394	209	0.6311	0.001414	0.9158	109.4227
EOG090C0D12	633	0	334	197	0.6365	0.001320	0.9005	461.0466
EOG090C0D5X	750	0	513	283	0.6943	0.001814	0.8286	218.6374
EOG090C0D62	606	0	269	121	0.4075	0.000764	0.9428	294.2557
EOG090C0D8Y	1203	0	561	340	0.7928	0.001256	0.7167	335.0527
EOG090C0DC4	789	0	267	129	0.4670	0.000770	1.2662	334.5994
EOG090C0DCG	1035	0	492	249	0.6806	0.001584	0.8541	367.5397
EOG090C0DPN	681	0	338	201	0.6790	0.001489	0.5292	498.3449
EOG090C0DPY	1443	7	753	355	0.4053	0.001264	0.8114	113.5685
EOG090C0DQF	738	0	278	111	0.4696	0.000654	1.2263	183.3399
EOG090C0DVF	729	0	280	163	0.5711	0.001438	0.5681	718.4334
EOG090C0DYT	729	0	315	153	0.4526	0.001132	0.8430	340.1532
EOG090C0DZR	594	0	230	129	0.5086	0.000816	0.7046	538.7401
EOG090C0E0A	666	0	330	162	0.6841	0.001519	0.6928	371.3589
EOG090C0E5P	555	1	203	117	0.4604	0.000889	0.8807	512.4866
EOG090C0E61	885	0	345	181	0.6786	0.000938	0.6781	696.9666
EOG090C0E66	507	0	259	143	0.6908	0.001658	1.1583	314.8391
EOG090C0ECL	750	0	415	195	0.5816	0.001092	1.0673	298.3358
EOG090C0EDQ	519	0	233	149	0.7137	0.001086	0.8802	368.4234
EOG090C0EOX	708	0	282	142	0.6748	0.001274	0.5975	473.3504
EOG090C0EQN	678	1	259	161	0.7002	0.001240	0.6413	823.1838
EOG090C0ERA	534	0	240	135	0.3990	0.001029	0.7816	468.178
EOG090C0FJ3	567	0	235	123	0.5355	0.000993	0.6592	482.1887
