Id	Species	Common name	Order/Suborder	Family	BUSCO	Assembly
TreLoe	Trematomus loennbergii	scaly rockcod	Perciformes/Notothenioidei	Nototheniinae	C:86.5%[S:84.3%,D:2.2%],F:6.5%,M:7.0%,n:4584	fTreLoe1
HisVel	Histiodraco velifer	barbeled plunderfish	Perciformes/Notothenioidei	Artedidraconidae	C:82.6%[S:80.8%,D:1.8%],F:10.3%,M:7.1%,n:4584	fHisVel1
BatMar	Bathydraco marri	deepwater dragon	Perciformes/Notothenioidei	Bathydraconidae	C:54.4%[S:53.2%,D:1.2%],F:23.8%,M:21.8%,n:4584	fBatMar1
ChiDew	Chionobathyscus dewitti	na	Perciformes/Notothenioidei	Channichthyidae	C:69.3%[S:67.6%,D:1.7%],F:15.8%,M:14.9%,n:4584	fChiDew1
LepLar	Lepidonotothen larseni	painted notie	Perciformes/Notothenioidei	Nototheniinae	C:48.9%[S:47.7%,D:1.2%],F:22.6%,M:28.5%,n:4584	fLepLar1
LepSqu	Lepidonotothen squamifrons	grey rockcod	Perciformes/Notothenioidei	Nototheniinae	C:68.9%[S:67.1%,D:1.8%],F:16.4%,M:14.7%,n:4584	fLepSqu1
TreHan	Trematomus hansoni	striped rockcod	Perciformes/Notothenioidei	Nototheniinae	C:72.9%[S:71.1%,D:1.8%],F:13.3%,M:13.8%,n:4584	fTreHan1
DolLon	Dolloidraco longedorsalis	long-finned Dollo's plunderfish	Perciformes/Notothenioidei	Artedidraconidae	C:77.6%[S:76.0%,D:1.6%],F:10.6%,M:11.8%,n:4584	fDolLon1
VomInf	Vomeridens infuscipinnis	na	Perciformes/Notothenioidei	Bathydraconidae	C:71.5%[S:70.1%,D:1.4%],F:14.4%,M:14.1%,n:4584	fVomInf1
TreSco	Trematomus scotti	crowned rockcod	Perciformes/Notothenioidei	Nototheniinae	C:52.7%[S:51.5%,D:1.2%],F:22.6%,M:24.7%,n:4584	fTreSco1
